input sentence,translation
should i host a barbeque party?,DCL DEAF GO-OUT RAIN DEAF DCL QM
"""i don't want to see you scream",SCL SCL FUTURE SCL BUOY
"but in the la area, they didn't see that way.",SCL FUTURE GO
john's leg hurts.,THAT IX IX REALLY SCL DEAF BUOY FINISH GIFT THAT ARRIVE ON # OR ARRIVE BOOK BUOY REALLY  FOR #   # SD IX LIKE NOW DEAF SAME # PO
"when i don't study, there is always a pop quiz.",IX MAN HAVE PINEAPPLE MOTHER SICK
mary's car broke down. it's fine because john will drive her to work.,SCL DCL SCL SCL fs- BOB NONE/NOTHING DCL DCL # OR WHY IN REALLY WHO SCL # SO IX REALLY WHO WORK THAT TIME WHO fs- JOHN FINISH REALLY QM BUOY
the student likes chocolate.,SCL DCL POSS FRIEND GO-OUT IX BUOY
"i don't buy it.  oh, and la is very fancy and high-class.",ICL DEAF SCL DCL CAR THAT BOOK # LA NOW WHY POSS CAR WHO ARRIVE HERE SAME REALLY IX BUOY
...there was a deer.,BCL IX LOOK WHO DEAF PERSON HAVE POSS FAMILY IN REALLY IX fs- TRUCK SCL REALLY fs- DANA DIFFERENT   SCL fs- PARK THAT REALLY     TO/UNTIL SCL FOR IX REALLY NOW JOHN SEE FATHER DCL # DO MOTHER+FATHER NOT SCL SCL DEAF CAR CAR WHY DCL CAR
"really, last weekend, i got together with twenty friends",SCL GROUP/TOGETHER SCL WHY DEAF REALLY REALLY DCL
"""i don't want you to run to the fans and cheer.",fs- BEACH IX SCL TO/UNTIL DRIVE SCL MOTHER HAVE PINEAPPLE IN POSS EXPERIENCE DCL  FOR SCL FINISH
did the group of friends arrive at the movie theater?,SCL DCL LOOK WOW NOW QM DIFFERENT DEAF FUTURE ARRIVE IN REALLY WHO # PO THAT CAR FOR DEAF DRIVE fs- LOX ARRIVE POSS MOTHER NOT BUOY WHERE GO-OUT SELL  TO/UNTIL WORK POSS QM WHO CAR NOT POSS SISTER POSS LIKE  NOW  MUST FUTURE GIFT IX SCL IX MOTHER SHOULD NOT WHEN RAIN SCL BUOY SCL fs- OBAMA FATHER LIKE FOR WORK BUOY WHO IX HAVE DEAF
"screaming for example is set up in culture based on a range of what's an acceptable scream. if you go beyond that range, basically, the scream becomes excessive.",DRIVE BUT ONE DRIVE TO/UNTIL WHY POSS CAR REALLY
the car is really broken!,NOW BUY YESTERDAY MOTHER DCL IX FUTURE READ WITH # DO MOTHER  PEOPLE CAR ON MOTHER QM
who won the lottery?,ARRIVE WORK fs- BEACH WHY fs- SUE
he takes off the lid and a hand reaches out of the coffin and chokes him!,SOMETHING/ONE fs- BEACH fs- MARY IN TOILET WHY NOT # ASL FINE REALLY DIFFERENT TO/UNTIL SCL QM THAT fs- OR
it's a concept where you figure out how to identify who...,# QUIZ WHY HAVE GOOD/THANK-YOU IX FUTURE FATHER fs- OF PERSON TALK fs- CREAM BUT FUTURE fs- JOHN NOT CAR IX REALLY # SALE # LA SCL WHY WHY
who is planning to surprise bob?,POSS FATHER FINISH SEE REALLY POSS DCL
you're going to the mall today? can i join? my car has a flat.,IX GO-OUT IX DRIVE SAME THAT SCL REALLY WOW WHY SAME WHY TO/UNTIL # HS IN WHO TALK BPCL QM   IX THINK CAR FOR NOW NOT SCL FOR POSS BIRTHDAY MOTHER CAR CAR
my friend loves to go fishing because he loves to eat fish.,NOW LOOK IX THINK # NO
does the game end at six?,# SD MOTHER IN fs- CREAM
"i couldn't believe it!  i said to myself, ""oh my god!""",BCL IN IX REALLY IX FUTURE POSS
"we wnt straight on through indiana, then illinois, no--first illinois, then indiana.  it was a good drive; i kept going overnight. ",REALLY WEATHER LOUSY WHERE WHY THAT WHY NOW WHY TO/UNTIL IX DCL fs- BEACH SAME ON QM WHY NOT RAIN REALLY POSS BIRTHDAY_3 WHY
"people make different judgments that are in conflict, giving rise to sensory politics.",BUT SCL ARRIVE IN NOT CANCEL/CRITICIZE WHERE GO-OUT SELL BUOY 1 THAT # # BUT FINISH DCL  DEAF
the tapper thrusts his hand into his victim's body and pulls out the heart.  he picks up the body and slings it onto his shoulder.,PEOPLE # WHAT MEAN IN HOUSE HAVE QM REALLY NOT FOR SCL POSS SCL IN POSS SISTER DEAF PEOPLE POSS FATHER LOOK CAR QM JOHN fs- TO CAR NOT LIKE SAME KIND fs- LATE POSS FATHER WHY CAR THAT MAJOR POSS NAME WHY CAN IX LOOK # LA WHO fs- ORIENTATION CAR CAR fs- TO MOTHER NOW NOW
did father start mowing the lawn?,MUST # DO DEAF DRIVE DEAF fs- SUE BOOK BUOY IX WORK REALLY DCL ON FUTURE
"like when a person is speaking, somebody can observe and analyze their identity,...",HAVE NOW HAVE BOOK POSS VOICE CAR fs- OBAMA DEAF WHY NOW NOW FOR fs- CREAM+CHEESE
is the water cold?,NOW # CAR SCL IN FUTURE CAR YESTERDAY GOOD/THANK-YOU REALLY DCL WHO SCL ON DCL  BUY BOOK #  IX   FINISH WHO MUST MAKE FATHER SAME FOR MOTHER ARRIVE DCL PEOPLE DCL SCL MOTHER FOR FATHER DCL DCL SCL MOTHER WORK WITH FUTURE NOW QM FATHER SAME BOOK
it's that student's mother that is buying a car.,ONE DRIVE FUTURE GIVE CHOCOLATE IX SCL THAT # # LA IN SCHOOL QM
he came in and told his men:,THAT THAT
it's raining and it's impossible to find an umbrella.,PEOPLE PEOPLE THAT BOOK # DO RAIN TOMORROW IX
"if bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.",FATHER NOT LIKE fs- RENT
a lot of deaf people use vocalization. i'd  say there is a range.,WHEN DEAF DCL IX GO CHOCOLATE PEOPLE MAKE POSS FAMILY GO fs- GRUNT
has mother already read that book?,ONE NOT FINISH WHO IX QM CAR GOOD/THANK-YOU SAME FOR  # SO JOHN SCL fs- RANGE WHO FUTURE GIFT # VP BOOK  FINISH WHY
"from now on, i won't sleep. that's it. ",BCL DCL WHY HAVE GOOD/THANK-YOU FUTURE NOW POSS
the deaf man indicated he couldn't hear.,WHY # OK
mother should not buy that car.,CAR IX MOTHER SCL ARRIVE WHERE SCL WORK # OR POSS VOICE DCL # DO FOR CAR WHY DIFFERENT DCL QM FUTURE  FINISH WHERE CAR DIFFERENT POSS WORK  JOHN NOT
did father really arrive home late at night?,fs- GRUNT # VP POSS FRIEND NOT SHOULD KNOW fs- EVEN WHO DCL # SALE THAT fs- TRUCK LIKE PINEAPPLE FUTURE GO FOR THAT QM DCL fs- DANA # JOB IX NOT HAVE
the teacher doesn't like the movie.,IX STUDENT SHOULD LIKE WHY CAR POSS NAME # WHEN QM THAT SCL ON CAR WHY BUOY IX FINISH SAME fs- OF THAT FATHER WHO  FATHER NOW ON u JOHN
my two friends joined and we decided to drive to boston.,TEACH+AGENT SOMETHING/ONE SCL IN PARTY IN FATHER GO-OUT RAIN NOW FINISH BUY BOOK POSS DCL
who walked to the store?,SCL FINISH GIFT FOR MOTHER QM
i love riding in airplanes and flying different places.,DCL SCL DCL LOOK IX MUST PAY BOOK fs- LATE IX SCL IX MUST fs- TRUCK WHO
what is it john loves?,fs- WORK WORK JOHN FINISH MOTHER FUTURE LIKE fs- TO WHO SCL NOT CANCEL/CRITICIZE
the teacher enjoyed (the movie) but the kids did not like the movie.,MOTHER BUY WHO HAVE FINISH WHO POSS fs- LATE fs- OF fs- ORIENTATION  FATHER LIKE DEAF # DOG_2 SCL IN CAR BLUE  CAR
"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.",REALLY NOW IN NOW THAT FUTURE GO FOR SHOW IX WHY SAME SCL # fs- LOX SAME # OR ICL IN IX BUOY
bob has a big dog because he loves wrestling with them.,fs- OR ARRIVE ON REALLY MANY POSS
one girl who lived right next to me.,HAVE LOOK THAT TIME # IF FATHER
my son wants to be an interpreter.,BUT WEATHER IN SCHOOL IN PARTY SCL DCL WHY QM WHY POSS 1 IX REALLY WITH TEACH+AGENT WHO LOOK BUT  BUY fs- VERY  CAR ON BUOY SCL DCL ON # LA
is that the only one horse playing on the farm?,SAME THAT POSS WORK IX MUST POSS HOUSE SCL FINISH
what does john eat? he eats caviar. yuck!,DRIVE REALLY FINISH NOT CANCEL/CRITICIZE BUOY
"if my friends go out, i will join them.",ARRIVE HOME REALLY GROUP/TOGETHER GO-OUT SELL
i want that black book.,ARRIVE BUY PLAID WORK BICYCLE POSS FATHER ARRIVE TIME BUOY BPCL SCL SCL 1 DEAF SCL WHERE FINISH IX SCL SCL FINISH WHY HAVE BIG REALLY BCL FINISH FINISH
"occasionally, i would pass a house or two.",IX GO-OUT GIFT WHO FUTURE MOVIE FINISH QM 1 IX LIKE NOW WHY QM REALLY FOR DEAF QM REALLY WHO WORK SCL BUOY CAR CAR BREAK-DOWN BUOY ARRIVE HOME QM NOT WHO BUOY BUOY  HOUSE # HS QM DCL REALLY  PEOPLE CAR BREAK-DOWN POSS BIRTHDAY QM WHY ARRIVE MOTHER WHO ARRIVE FOR ICL WORK # FLA fs- JOHN POSS SCL DCL NOT REALLY  ON SAME WHY WHO
i went swimming at the beach.,DCL NOW FUTURE READ BOOK # LA IN FUTURE FINISH QM DCL
i didn`t enjoy talking to donna and jessica.,DCL ON WHERE THAT LOOK fs- LOX  - - WORK SCL SCL
the car is broken.,CAR LIKE IX BOOK
"or if someone goes above the acceptable range, then people will look upon that person negatively.",PEOPLE FATHER SCL ONE IX DCL TWO PHONE DCL LEARN FROM MAKE 1 REALLY FUTURE SCL QM DCL BUOY fs- OBAMA CHOOSE
i got a b on last week's test.,NOW SCL LOOK FUTURE NOT POSS DCL DEAF WHY IX BUOY fs- IT POSS DCL IX SCL DEAF SAME KIND fs- GRUNT 1 QM CAR BUOY FINISH ARRIVE REALLY WOW/AWFUL SCL DEAF IN NOT CANCEL/CRITICIZE POSS FATHER POSS CAR WORK  ON fs- TRUCK LIKE IX
"""ok..."" and he puts the cover back on. ",# OK IX LOOK FINE FUTURE GO WHERE FUTURE ARRIVE fs- OF NOISE DIFFERENT NONE/NOTHING FEEL FATHER FUTURE
who is feeding the fire?,POSS FAMILY FINISH POSS QM # LA THAT HAVE THAT
mary is a vegetarian.,FUTURE NOW POSS NEW IX fs- JOHN IX NOT
my friends were driving in front of me and i waved to get their attention.  i told them that we really had to stay at the hotel because it's our only choice.,IF MOTHER HAVE POSS FRIEND GROUP/TOGETHER MUST WHY DEAF PEOPLE HAVE POSS FATHER ARRIVE
"he said, ""make sure not to pee in public again!"" then he left.",FINISH BUY THAT TIME DCL ON MOTHER BUY fs- GRUNT QM DCL IX SCL DEAF HAVE BUOY 1 BUOY IN IN
when do you want the bbq to be?,POSS DEAF WORK QM QM DCL POSS FATHER ARRIVE IX FUTURE BUY GOOD/THANK-YOU # LA WHERE GO-OUT SELL QM  TO/UNTIL POSS NEW FRIEND NOT WORK SCL IN
"when a deaf child does not have a deaf mentor, the family will continue to be disappointed and their grief will last longer.",NOW ONE GO-OUT # WHEN IX GO # SO IX FINE
mother bought a car.,ONE THAT NOT WHO FINISH SCL fs- ORIENTATION POSS NAME FUTURE fs- JOHN SCL IX ARRIVE HOME MOTHER IX HAVE JOHN SHOULD IX WORK WHO REALLY CAR BLUE FINISH BUY PLAID FOR FINISH WHO fs- MARY BUY POSS BROTHER IX MUST GIFT YESTERDAY # JOB SCL IX MUST MOTHER FINISH WHO LOOK # SO CAR CAR DIFFERENT MOTHER HOUSE # RA QM CAR FUTURE ^ DCL RAIN
"i tried to tell the cop that i'm deaf.  i spoke, ""deaf, deaf!""",WHY POSS SCL WHO WHERE WHY NOT NOT IX
"he yawned, went upstairs, and went to bed. ",WHO NOT LIKE DCL NOT WHY NOW WHY IX
"when that's done, when he's read the book, he will give it to the teacher.",NOW SCL THAT BOOK DCL ARRIVE
we had a choice of steak or chicken.,BAD SO IF IX MAN ONE NIGHT QM a SAME NONE/NOTHING DEAF DRIVE
bob doesn't have a big dog- he only has a small dog.,REALLY CAR CAR YESTERDAY SAME KIND MOTHER fs- GRUNT NOT # ALL FUTURE DCL IX IX BUOY DCL fs- OR POSS WHO
now mary knows john.,ARRIVE NOT BUY GOOD/THANK-YOU FINISH WHO fs- fs- OF
"that list goes from ""a"" to ""n"".  picking a word, ""noise"": people should be aware that deaf people make noise, often without realizing it.",PEOPLE NOT SNOW LOOK THAT ONE SAME FOR SAME
"he built a (wood, no) brick house.",AUNT IN fs- OF RAIN FUTURE
"there's a story about a deaf man who grew up in a hearing family; and the family was not so great with sign language. every time he went to the bathroom, his parents would react to the loud noise.",PEOPLE fs- DANA TELL THAT IN # RA BUT IX NOT ONE CULTURE POSS FRIEND FUTURE GO fs- PARK IX IN SCHOOL # SALE
i was definitely deaf.,NOT WHEN SCL GO-OUT POSS DEAF
... la would flood for sure.,NOW
"deaf people made progress with the growth of signing.  the progress could have been greater, but it wasn't permitted.",SOMETHING/ONE LOOK SEE THAT KIND FUTURE IN # LA MAYBE WHY MUST PAY POSS DEAF HAVE DEAF  MOTHER BUY BUT # SALE DEAF IX LOOK SCL DEAF DEAF SCL GO-OUT NOT RAIN DEAF POSS SCL THAT # LA DEAF SAME LIKE JOHN IX LOOK FUTURE ARRIVE NOW POSS NEW NOW WHY CAR YESTERDAY IX DCL DCL NOT DCL SAME fs- PEN   - t WHO IX REALLY SCL
horses play on the farmland because they are too old to race.,SAY CAR WHERE IN REALLY STILL POSS MOTHER SICK IX FUTURE
"for example, the journal paper, which has holes in the paper, if you rip it slowly...",LOOK TEACH+AGENT HAVE BETTER PARTY GROUP/TOGETHER NOW NONE/NOTHING MOTHER+FATHER ARRIVE  JOHN FINISH FINISH FUTURE SEE CAR HERE SAME   TO/UNTIL WHY SCL THAT DEAF SAME  BUY WHO # CAR QM  FATHER SCL THAT  fs- CREAM+CHEESE DCL IX FATHER MEAN fs- LOX  FOR JOHN ARRIVE # BUT MOTHER BUY WHO
"when it snows, school is cancelled.",MOTHER FUTURE PAY/SPEND WHEN IX DEAF PEOPLE GIVE SOMETHING/ONE HOUSE FINISH ARRIVE DCL fs- SUE MOTHER
"then interpreter informed me that my ""inhale to avoid cough"" sounded like a sigh.",# OK NOT CAR NOT DEAF CAR
"no, i just came back from dinner. they had no ice cream.",BCL
"when my friend goes out fishing, the fish has to go in the bucket immediately so it will be fresh.",STUDENT NOT BUY GOOD/THANK-YOU WHY FINISH GO-OUT NOW WHY # DOG_2 IX SCL SELL DEAF NOT POSS # SALE WORK ALL-NIGHT DCL 1 QM DO-DO
he wanted to check if i had some air in my finger which could cause an infection.,FATHER DEAF CAR YESTERDAY DO-DO NOT IX HAVE PINEAPPLE FUTURE fs- OR fs- TO # ASL CAR BREAK-DOWN NOT DCL
"vince lombardi, before his men walked onto the field, ",DRIVE ARRIVE NOT RAIN
i like pineapple cream cheese.,DCL NOW ARRIVE # NO DCL WHO SCL QM NOT BUY NOW REALLY DIFFERENT IX IX IX # SALE POSS NAME BOOK NOT CANCEL/CRITICIZE WHO DCL FUTURE READ WHY QM DCL REALLY WHY  # IF IX REALLY DIFFERENT WHO POSS fs- BOB WHY POSS SISTER DEAF DRIVE REALLY POSS NEW FATHER JOHN BUY HOUSE  PEOPLE NOT CANCEL/CRITICIZE fs- MPH CAR CAR QM DCL FATHER WHO NOW SCL JOHN
what did john decide yesterday?,FUTURE BUY BOOK fs- BOOK DCL WHO
i think the man caught breaking and entering a house in newton is the same man responsible for the break-ins in brookline.,LOOK SEE THAT REALLY WOW WHY PERSON
"the sun still shines warmly, but during night time, it gets a little cooler.",HAPPEN SCL ONE WHO NOT
the student has the videotape.,TEACH+AGENT FINISH NOT REASON FOR IX SCL
are you going to the party next week?,SCL NOW NOT BUY GOOD/THANK-YOU SCL IX FUTURE POSS CELEBRATE WHY # SD DCL fs- MARY IX DCL WHY SAME NOT RAIN FUTURE DIFFERENT THAT IX DRIVE FINISH
"for example, in some places you are allowed to burp while in other places no, it's forbidden!  it really varies.",SCL FINISH GO PERSON PERSON ONE MOTHER IX REALLY WHY THAT WHO FUTURE SCL fs- MARY DCL POSS
"if i don't read, i will be bored.",THAT IF IX ARRIVE NOW DCL BUOY FINISH READ WHERE QM WHY HAVE #  DCL PEOPLE CAR # WHAT MEAN IX KISS-FIST POSS DEAF SAME BUOY WHY NOT DCL ON IF TO/UNTIL FUTURE BUY NONE/NOTHING HOUSE SAME DCL SCL WHO POSS NEW NOW REALLY WHO SCL BUOY REALLY THAT CAR QM JOHN BUY WHEN MOVIE NOT CAR BUY SCL THAT TIME WHO  PEOPLE IX LOOK SEE # CAR
father must mow the lawn because he will host a bbq soon.,WHEN WHEN SCL ON CAR POSS FRIEND # QUIZ QM REALLY QM AND IX DCL BPCL NOT fs- OF  - DO-DO WORK ALL-NIGHT NOW SCL
the wolf inhaled deeply and blew at the house.  the grass house blew away.,BUT JOHN READ THAT NOT DRIVE QM
"if i don't want to swim, i will walk along the edge of the water.",WHY IX KISS-FIST FOR LOOK MOVIE POSS FAMILY GROUP/TOGETHER ARRIVE ON POSS NOT NOT
"and, make sure you have everything ready--make sure your car is ready before you leave, like i didn't do. ",SOMETHING/ONE fs- PEN DCL NOW THAT NOT fs- JOHN FUTURE BPCL DEAF # IF
"""...celebrations when you score a touchdown.",fs- BEACH SCL FINISH REALLY FUTURE
because i felt it would be their word against mine.,WHY NOT ONE ONE NIGHT IX CAR # IF HAVE BUOY WHY PEOPLE BUOY WHERE THAT TIME WHO SCL NOT
"it could be, i don't know, a quarterback sack, ",SCL ONE POSS NAME THAT NOT # IX NOT CAR WORK IX IX # ALL NOT SCL DEAF POSS FATHER BUOY QM FUTURE SCL IX
"yesterday, it rained all day.",SOMETHING/ONE NOT LIKE POSS FAMILY QM AND ARRIVE BUOY WHY ^ SCL FINISH SCL DEAF  DCL REALLY DCL CAR IX MUST POSS MOTHER SHOULD DIFFERENT WHO IX WHO fs- CREAM+CHEESE POSS DEAF MOTHER fs- SUE FINISH SCL ON THAT FATHER NOW NONE/NOTHING NOW WHY DCL DCL DCL READ BUT ANYWAY/NOT-MATTER IX FINISH MOTHER LOOK IX fs- PHIL POSS HOUSE JOHN FINISH DCL
...about how she found out that i had become deaf.,ICL # fs- DANA CAR
the black bike is better but the red bike is cheaper.,REALLY ONE VIDEO-GAME IX REALLY THAT WHY WHY REALLY MUST IN # SD QM
why is your group of friends travelling?,# ALL GROUP/TOGETHER FINISH POSS FATHER POSS SISTER DEAF REALLY DCL BUOY DCL SCL BUOY QM REALLY POSS NOT RAIN BUT
"if your friend passes out, i won`t take care of him.",POSS IF IF RAIN LOOK NOT WHY MUST POSS IX POSS BIRTHDAY BUOY fs- BEACH IX KISS-FIST FOR IX DCL  DCL  DCL DCL DCL ICL IX  CAR ON CAR QM FUTURE LIKE FINISH SCL
"still, wow, it is very expensive in la.",REALLY WOW REALLY NOT REALLY MANY fs- VERY IX REFUSE IN IN BOSTON IX THINK DEAF fs- VERY
the student likes chocolate.,SCL READ WITH TEACH+AGENT SCL REALLY CAR FOR FOR NOW POSS FINISH  BUY NOW SCL WHY   FATHER FATHER WORK ALL-NIGHT SCL FOR FOR QM fs- CREAM+CHEESE WHO FUTURE READ FOR MOTHER DCL SAME DCL FINISH SCL REALLY DEAF SCL MOTHER LIKE WORK
"anyway, i tapped tony and told him the bad news.",NOW SCL IX WHO SCL MOTHER NOW WHY SCL FUTURE GIFT QM BREAK fs- GRUNT WHY CAR a QM BUT QM SCL BUOY TO/UNTIL FOR
mother should buy a car.,WHEN WHEN WHO fs- CREAM+CHEESE LOVE FUTURE GIFT TEACHER IX MOTHER NOT BUY # HS NOW BUOY POSS QM NOT  BUY CAR SHOULD
my friend is going out to a party.,FATHER ARRIVE DCL
"when bob arrives at the party, everyone has to spray him with silly string and tease him.",PEOPLE # SALE fs- LATE LOOK WOW VISUALIZE HAVE PINEAPPLE DCL SCL ON POSS FINISH IX SCL DCL # HS POSS WORK QM WHO FUTURE FINISH NOW fs- BEACH  HOUSE NOT DEAF MOTHER LIKE REALLY IX DCL IN THAT NOT fs- LATE CAR  MUST GO WHERE GO-OUT CAR
"in china, people prefer broccoli over other vegetables.",BUT LOOK WHO ARRIVE ARRIVE WHERE WHY DCL SAME POSS SCL REALLY IX fs- CREAM+CHEESE WHY BUOY
"if bob studies for his literature test, he will pass it for sure.",DRESS/CLOTHES SAME ARRIVE NOT FATHER FUTURE GIFT DEAF PEOPLE IX
my sister went water tubing.,NOW STUDENT SHOULD LIKE
mother will give me twenty dollars if i clean the kitchen.,# OK FATHER DCL ARRIVE FOR # DO ABOUT CAR WHO
but i tried to tell my friend that i was just smoking a cigarette.,HAVE THAT # PO NOW NOW IN ONE FUTURE fs- BEACH
...it's really far to omaha--it's the end of nebraska,SAME FOR POSS FATHER HAVE GOOD/THANK-YOU WHY # VP GO IX REALLY FUTURE LIKE IX WORK BUOY CAR BUOY WORK WHY
erick was supposed to fine us.,NOW WEATHER FUTURE READ
"""you are afraid of heights, right?"" ""no, i'm not afraid of heights. why would you think that?",ONE # WHAT HAVE GOOD/THANK-YOU NOT LIKE FATHER IX FUTURE BUY THAT
"second, there tends to be a lot of effort at breathing, heavy breathing.",NOW THAT ONE TWO DEAF POSS VOICE
who is sick?,SOMETHING/ONE POSS BOOK WHEN WHO DEAF PERSON
i missed my morning class because i slept in.,HAVE ONE NOT BUY BOOK NOW DCL NOT HAVE BOOK IX DRIVE NOW
how do we know?,# ALL FUTURE WHO # DOG_2 SCL THAT BUOY
"who did john see, who?",fs- JOHN WORK IX LOVE FINISH CAR FOR THAT FUTURE NOT FOR QM REALLY BUY
my friends are travelling together.,IF MOTHER ARRIVE SCL BUOY QM
"you'll see mary at the party. would you tell her to call me?"" ""i doubt that i'll be going out but if i see her i will tell her to call you.""",IN HOUSE LOOK LOOK LOOK MOTHER GIVE - AUSTRALIA IX REALLY PEOPLE SCL fs- CREAM NO HAVE FOR GROUP/TOGETHER WORK THAT fs- OF MOTHER FOR MOTHER BUY DIFFERENT SCL FINISH FUTURE READ HAVE THAT BOOK FINISH SCL IN REALLY DEAF DEAF SAME IX BUOY BUOY HAVE IX NOT # ALL THAT FOR REALLY fs- SUE CAR WHERE WHY THAT FUTURE ^ NOT MUST # OR REALLY SCL ON POSS SISTER
father bought a book.,ARRIVE MOTHER JOHN WHO QM BUOY IN IX
"really, i wasnt sure.",SOMETHING/ONE ARRIVE IX HAVE FINISH FUTURE DCL IX DRIVE FUTURE REALLY REALLY
why is jack nauseated?,fs- GRUNT FUTURE ARRIVE ARRIVE DEAF NOT DRIVE SCL QM NOT CAR HERE DEAF fs- DANA QM MOVIE POSS fs- DANA DCL DCL WHO
"when you get the book, read chapter two.",FINISH ARRIVE YESTERDAY CAR BOOK
"in northridge, it tends to be ten to fifteen degrees hotter than la.",THAT fs- MARY ARRIVE fs- LATE FOR # VP FUTURE SEE THAT NOT FEEL DEAF fs- SUE WHO # DOG_2 WHY BUOY WHO POSS SISTER LOOK DCL DCL REALLY THAT WHY fs- TO WHO fs- WAS CAR IX BUOY WHO
mother bought a book yesterday.,fs- BOOK JOHN BOOK WHO NOT BREAK CAR HERE ARRIVE POSS YESTERDAY IX BUOY
"if i pay rent now, i will have to cancel my vacation.",THAT DEAF ARRIVE fs- TRUCK LOOK SEE WHO ARRIVE fs- EVEN # OR QM DCL IN NOT WORK fs- LATE # OK # WHAT IX fs- TRUCK IN HOUSE IX IX HAVE IX FUTURE LOOK POSS NEW NOT POSS VOICE WHERE FOR DRIVE #  DCL  JOHN  MUST PEOPLE LOOK MOVIE IX MOTHER  JOHN WORK # OR WORK IX NOT  - SHOULD
"the food was not good, so we just left it. ",LOOK BCL HAVE NOT FOR POSS SCL FINISH ARRIVE WHY DCL ARRIVE WHERE POSS fs- MPH REALLY DRIVE DEAF DCL fs- LOX CAR SCL DEAF  TO/UNTIL NOW DCL ON SAME CAR IX NOT MUST FINISH CAR BREAK-DOWN fs- LOX IX LOOK MOVIE DCL POSS SCL IX WHY WHERE ARRIVE THAT POSS  CAR WHO BUY IX REALLY ON NOW DIFFERENT fs- OBAMA  FINISH MUST MOTHER NOW NOW NOW
the teacher didn't make the reading required. it's uncertain whether or not john will read the book now.,SOMETHING/ONE IX LOOK DEAF BOOK IX BUY TOMORROW GROUP/TOGETHER DRIVE REALLY fs- CREAM+CHEESE REALLY IX HAVE WHO BUY WHY RECENT-PAST QM WHY ARRIVE HOME WHY
there is a wood house.,NOW ARRIVE IX LIKE CAR WORK QM fs- LOX NOT POSS WORK WHY IX fs- JOHN POSS CAR BLUE WHERE SCL WHERE QM WHY
